コード,銘柄名,業種
7508.T,Ｇ‐７ホールディングス,小売業
7510.T,たけびし,卸売業
7512.T,イオン北海道,小売業
7513.T,コジマ,小売業
7514.T,ヒマラヤ,小売業
7516.T,コーナン商事,小売業
7518.T,ネットワンシステムズ,情報・通信業
7520.T,エコス,小売業
7522.T,ワタミ,小売業
7524.T,マルシェ,小売業
7525.T,リックス,卸売業
7527.T,システムソフト,情報・通信業
7532.T,パン・パシフィック・インターナショナルホールディングス,小売業
7537.T,丸文,卸売業
7545.T,西松屋チェーン,小売業
7550.T,ゼンショーホールディングス,小売業
7552.T,ハピネット,卸売業
7554.T,幸楽苑,小売業
7561.T,ハークスレイ,小売業
7570.T,橋本総業ホールディングス,卸売業
7575.T,日本ライフライン,卸売業
7581.T,サイゼリヤ,小売業
7590.T,タカショー,卸売業
7593.T,ＶＴホールディングス,小売業
7595.T,アルゴグラフィックス,情報・通信業
7596.T,魚力,小売業
7599.T,ＩＤＯＭ,卸売業
7600.T,日本エム・ディ・エム,精密機器
7601.T,ポプラ,小売業
7605.T,フジ・コーポレーション,小売業
7606.T,ユナイテッドアローズ,小売業
7607.T,進和,卸売業
7608.T,エスケイジャパン,卸売業
7609.T,ダイトロン,卸売業
7611.T,ハイデイ日高,小売業
7613.T,シークス,卸売業
7615.T,京都きもの友禅ホールディングス,小売業
7616.T,コロワイド,小売業
7619.T,田中商事,卸売業
7628.T,オーハシテクニカ,卸売業
7630.T,壱番屋,小売業
7637.T,白銅,卸売業
7640.T,トップカルチャー,小売業
7646.T,ＰＬＡＮＴ,小売業
7649.T,スギホールディングス,小売業
7673.T,ダイコー通産,卸売業
7679.T,薬王堂ホールディングス,小売業
7701.T,島津製作所,精密機器
7702.T,ＪＭＳ,精密機器
7709.T,クボテック,精密機器
7715.T,長野計器,精密機器
7717.T,ブイ・テクノロジー,精密機器
7718.T,スター精密,機械
7721.T,東京計器,精密機器
7723.T,愛知時計電機,精密機器
7725.T,インターアクション,精密機器
7727.T,オーバル,精密機器
7729.T,東京精密,精密機器
7730.T,マニー,精密機器
7731.T,ニコン,精密機器
7732.T,トプコン,精密機器
7733.T,オリンパス,精密機器
7734.T,理研計器,精密機器
7735.T,ＳＣＲＥＥＮホールディングス,電気機器
7739.T,キヤノン電子,電気機器
7740.T,タムロン,精密機器
7741.T,ＨＯＹＡ,精密機器
7743.T,シード,精密機器
7744.T,ノーリツ鋼機,精密機器
7745.T,Ａ＆Ｄホロンホールディングス,精密機器
7747.T,朝日インテック,精密機器
7751.T,キヤノン,電気機器
7752.T,リコー,電気機器
7762.T,シチズン時計,精密機器
7769.T,リズム,精密機器
7775.T,大研医器,精密機器
7780.T,メニコン,精密機器
7782.T,シンシア,精密機器
7795.T,ＫＹＯＲＩＴＳＵ,その他製品
7811.T,中本パックス,その他製品
7817.T,パラマウントベッドホールディングス,その他製品
7818.T,トランザクション,その他製品
7819.T,粧美堂,その他製品
7820.T,ニホンフラッシュ,その他製品
7821.T,前田工繊,その他製品
7822.T,永大産業,その他製品
7823.T,アートネイチャー,その他製品
7826.T,フルヤ金属,その他製品
7832.T,バンダイナムコホールディングス,その他製品
7833.T,アイフィスジャパン,その他製品
7839.T,ＳＨＯＥＩ,その他製品
7840.T,フランスベッドホールディングス,その他製品
7844.T,マーベラス,情報・通信業
7846.T,パイロットコーポレーション,その他製品
7856.T,萩原工業,その他製品
7860.T,エイベックス,情報・通信業
7864.T,フジシールインターナショナル,その他製品
7867.T,タカラトミー,その他製品
7868.T,広済堂ホールディングス,その他製品
7872.T,エステールホールディングス,その他製品
7874.T,レック,化学
7885.T,タカノ,その他製品
7888.T,三光合成,化学
7893.T,プロネクサス,その他製品
7897.T,ホクシン,その他製品
7898.T,ウッドワン,その他製品
7908.T,きもと,化学
7911.T,ＴＯＰＰＡＮホールディングス,その他製品
7912.T,大日本印刷,その他製品
7914.T,共同印刷,その他製品
7915.T,ＮＩＳＳＨＡ,その他製品
7916.T,光村印刷,その他製品
7917.T,ＺＡＣＲＯＳ,化学
7918.T,ヴィア・ホールディングス,小売業
7921.T,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,その他製品
7925.T,前澤化成工業,化学
7931.T,未来工業,化学
7936.T,アシックス,その他製品
7937.T,ツツミ,その他製品
7940.T,ウェーブロックホールディングス,化学
7942.T,ＪＳＰ,化学
7943.T,ニチハ,ガラス・土石製品
7944.T,ローランド,その他製品
7947.T,エフピコ,化学
7949.T,小松ウオール工業,その他製品
7951.T,ヤマハ,その他製品
7952.T,河合楽器製作所,その他製品
7955.T,クリナップ,その他製品
7956.T,ピジョン,その他製品
7958.T,天馬,化学
7962.T,キングジム,その他製品
7965.T,象印マホービン,電気機器
7966.T,リンテック,その他製品
7970.T,信越ポリマー,化学
7971.T,東リ,化学
7972.T,イトーキ,その他製品
7974.T,任天堂,その他製品
7976.T,三菱鉛筆,その他製品
7979.T,松風,精密機器
7981.T,タカラスタンダード,その他製品
7984.T,コクヨ,その他製品
7987.T,ナカバヤシ,その他製品
7988.T,ニフコ,化学
7989.T,立川ブラインド工業,金属製品
7990.T,グローブライド,その他製品
7994.T,オカムラ,その他製品
7995.T,バルカー,化学
7999.T,ＭＵＴＯＨホールディングス,電気機器
8001.T,伊藤忠商事,卸売業
8002.T,丸紅,卸売業
8005.T,スクロール,小売業
8007.T,高島,卸売業
8008.T,ヨンドシーホールディングス,小売業
8011.T,三陽商会,繊維製品
8012.T,長瀬産業,卸売業
8013.T,ナイガイ,繊維製品
8014.T,蝶理,卸売業
8015.T,豊田通商,卸売業
8016.T,オンワードホールディングス,繊維製品
8018.T,三共生興,卸売業
8020.T,兼松,卸売業
8022.T,美津濃,その他製品
8025.T,ツカモトコーポレーション,卸売業
8029.T,ルックホールディングス,繊維製品
8031.T,三井物産,卸売業
8032.T,日本紙パルプ商事,卸売業
8035.T,東京エレクトロン,電気機器
8037.T,カメイ,卸売業
8038.T,東都水産,卸売業
8041.T,ＯＵＧホールディングス,卸売業
8043.T,スターゼン,卸売業
8050.T,セイコーグループ,精密機器
8051.T,山善,卸売業
8052.T,椿本興業,卸売業
8053.T,住友商事,卸売業
8056.T,ＢＩＰＲＯＧＹ,情報・通信業
8057.T,内田洋行,卸売業
8058.T,三菱商事,卸売業
8059.T,第一実業,卸売業
8060.T,キヤノンマーケティングジャパン,卸売業
8061.T,西華産業,卸売業
8065.T,佐藤商事,卸売業
8070.T,東京産業,卸売業
8074.T,ユアサ商事,卸売業
8075.T,神鋼商事,卸売業
8077.T,トルク,卸売業
8078.T,阪和興業,卸売業
8079.T,正栄食品工業,卸売業
8081.T,カナデン,卸売業
8084.T,ＲＹＯＤＥＮ,卸売業
8086.T,ニプロ,精密機器
8088.T,岩谷産業,卸売業
8089.T,ナイス,卸売業
8091.T,ニチモウ,卸売業
8093.T,極東貿易,卸売業
8095.T,アステナホールディングス,卸売業
8097.T,三愛オブリ,卸売業
8098.T,稲畑産業,卸売業
8101.T,ＧＳＩクレオス,卸売業
8103.T,明和産業,卸売業
8104.T,クワザワホールディングス,卸売業
8107.T,キムラタン,繊維製品
8111.T,ゴールドウイン,繊維製品
8113.T,ユニ・チャーム,化学
8114.T,デサント,繊維製品
8118.T,キング,繊維製品
8125.T,ワキタ,卸売業
8127.T,ヤマトインターナショナル,繊維製品
8129.T,東邦ホールディングス,卸売業
8130.T,サンゲツ,卸売業
8131.T,ミツウロコグループホールディングス,卸売業
8132.T,シナネンホールディングス,卸売業
8133.T,伊藤忠エネクス,卸売業
8136.T,サンリオ,卸売業
8137.T,サンワテクノス,卸売業
8141.T,新光商事,卸売業
8142.T,トーホー,卸売業
8150.T,三信電気,卸売業
8151.T,東陽テクニカ,卸売業
8153.T,モスフードサービス,卸売業
8154.T,加賀電子,卸売業
8157.T,都築電気,情報・通信業
8158.T,ソーダニッカ,卸売業
8159.T,立花エレテック,卸売業
8160.T,木曽路,小売業
8163.T,ＳＲＳホールディングス,小売業
8165.T,千趣会,小売業
8166.T,タカキュー,小売業
8167.T,リテールパートナーズ,小売業
8173.T,上新電機,小売業
8174.T,日本瓦斯,小売業
8179.T,ロイヤルホールディングス,小売業
8181.T,東天紅,小売業
8182.T,いなげや,小売業
8185.T,チヨダ,小売業
8194.T,ライフコーポレーション,小売業
8200.T,リンガーハット,小売業
8203.T,ＭｒＭａｘＨＤ,小売業
8207.T,テンアライド,小売業
8214.T,ＡＯＫＩホールディングス,小売業
8217.T,オークワ,小売業
8218.T,コメリ,小売業
8219.T,青山商事,小売業
8227.T,しまむら,小売業
8230.T,はせがわ,小売業
8233.T,高島屋,小売業
8237.T,松屋,小売業
8242.T,エイチ・ツー・オー　リテイリング,小売業
8244.T,近鉄百貨店,小売業
8252.T,丸井グループ,小売業
8253.T,クレディセゾン,その他金融業
8255.T,アクシアル　リテイリング,小売業
8260.T,井筒屋,小売業
8267.T,イオン,小売業
8273.T,イズミ,小売業
8275.T,フォーバル,卸売業
8276.T,平和堂,小売業
8278.T,フジ,小売業
8279.T,ヤオコー,小売業
8281.T,ゼビオホールディングス,小売業
8282.T,ケーズホールディングス,小売業
8283.T,ＰＡＬＴＡＣ,卸売業
8285.T,三谷産業,卸売業
8289.T,Ｏｌｙｍｐｉｃグループ,小売業
8291.T,日産東京販売ホールディングス,小売業
8304.T,あおぞら銀行,銀行業
8306.T,三菱ＵＦＪフィナンシャル・グループ,銀行業
8308.T,りそなホールディングス,銀行業
8309.T,三井住友トラストグループ,銀行業
8316.T,三井住友フィナンシャルグループ,銀行業
8331.T,千葉銀行,銀行業
8334.T,群馬銀行,銀行業
8336.T,武蔵野銀行,銀行業
8337.T,千葉興業銀行,銀行業
8338.T,筑波銀行,銀行業
8341.T,七十七銀行,銀行業
8343.T,秋田銀行,銀行業
8344.T,山形銀行,銀行業
8345.T,岩手銀行,銀行業
8346.T,東邦銀行,銀行業
8349.T,東北銀行,銀行業
8354.T,ふくおかフィナンシャルグループ,銀行業
8358.T,スルガ銀行,銀行業
8359.T,八十二銀行,銀行業
8360.T,山梨中央銀行,銀行業
8361.T,大垣共立銀行,銀行業
8362.T,福井銀行,銀行業
8364.T,清水銀行,銀行業
8365.T,富山銀行,銀行業
8366.T,滋賀銀行,銀行業
8367.T,南都銀行,銀行業
8368.T,百五銀行,銀行業
8370.T,紀陽銀行,銀行業
8377.T,ほくほくフィナンシャルグループ,銀行業
8381.T,山陰合同銀行,銀行業
8383.T,鳥取銀行,銀行業
8386.T,百十四銀行,銀行業
8387.T,四国銀行,銀行業
8388.T,阿波銀行,銀行業
8392.T,大分銀行,銀行業
8393.T,宮崎銀行,銀行業
8395.T,佐賀銀行,銀行業
8399.T,琉球銀行,銀行業
8410.T,セブン銀行,銀行業
8411.T,みずほフィナンシャルグループ,銀行業
8416.T,高知銀行,銀行業
8418.T,山口フィナンシャルグループ,銀行業
8424.T,芙蓉総合リース,その他金融業
8425.T,みずほリース,その他金融業
8439.T,東京センチュリー,その他金融業
8473.T,ＳＢＩホールディングス,証券、商品先物取引業
8511.T,日本証券金融,その他金融業
8515.T,アイフル,その他金融業
8518.T,日本アジア投資,証券、商品先物取引業
8522.T,名古屋銀行,銀行業
8524.T,北洋銀行,銀行業
8537.T,大光銀行,銀行業
8541.T,愛媛銀行,銀行業
8542.T,トマト銀行,銀行業
8544.T,京葉銀行,銀行業
8550.T,栃木銀行,銀行業
8551.T,北日本銀行,銀行業
8558.T,東和銀行,銀行業
8562.T,福島銀行,銀行業
8563.T,大東銀行,銀行業
8566.T,リコーリース,その他金融業
8570.T,イオンフィナンシャルサービス,その他金融業
8572.T,アコム,その他金融業
8584.T,ジャックス,その他金融業
8585.T,オリエントコーポレーション,その他金融業
8591.T,オリックス,その他金融業
8593.T,三菱ＨＣキャピタル,その他金融業
8595.T,ジャフコ　グループ,証券、商品先物取引業
8596.T,九州リースサービス,その他金融業
8600.T,トモニホールディングス,銀行業
8601.T,大和証券グループ本社,証券、商品先物取引業
8604.T,野村ホールディングス,証券、商品先物取引業
8609.T,岡三証券グループ,証券、商品先物取引業
8613.T,丸三証券,証券、商品先物取引業
8614.T,東洋証券,証券、商品先物取引業
8616.T,東海東京フィナンシャル・ホールディングス,証券、商品先物取引業
8617.T,光世証券,証券、商品先物取引業
8622.T,水戸証券,証券、商品先物取引業
8624.T,いちよし証券,証券、商品先物取引業
8628.T,松井証券,証券、商品先物取引業
8630.T,ＳＯＭＰＯホールディングス,保険業
8697.T,日本取引所グループ,その他金融業
8698.T,マネックスグループ,証券、商品先物取引業
8706.T,極東証券,証券、商品先物取引業
8707.T,岩井コスモホールディングス,証券、商品先物取引業
8708.T,アイザワ証券グループ,証券、商品先物取引業
8713.T,フィデアホールディングス,銀行業
8714.T,池田泉州ホールディングス,銀行業
8715.T,アニコム　ホールディングス,保険業
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業
8732.T,マネーパートナーズグループ,証券、商品先物取引業
8739.T,スパークス・グループ,証券、商品先物取引業
8742.T,小林洋行,証券、商品先物取引業
8750.T,第一生命ホールディングス,保険業
8766.T,東京海上ホールディングス,保険業
8769.T,アドバンテッジリスクマネジメント,サービス業
8771.T,イー・ギャランティ,その他金融業
8772.T,アサックス,その他金融業
8793.T,ＮＥＣキャピタルソリューション,その他金融業
8795.T,Ｔ＆Ｄホールディングス,保険業
8798.T,アドバンスクリエイト,保険業
8801.T,三井不動産,不動産業
8802.T,三菱地所,不動産業
8803.T,平和不動産,不動産業
8804.T,東京建物,不動産業
8818.T,京阪神ビルディング,不動産業
8830.T,住友不動産,不動産業
8835.T,太平洋興発,卸売業
8841.T,テーオーシー,不動産業
8848.T,レオパレス２１,不動産業
8850.T,スターツコーポレーション,不動産業
8860.T,フジ住宅,不動産業
8864.T,空港施設,不動産業
8869.T,明和地所,不動産業
8871.T,ゴールドクレスト,不動産業
8876.T,リログループ,サービス業
8877.T,エスリード,不動産業
8881.T,日神グループホールディングス,不動産業
8892.T,日本エスコン,不動産業
8897.T,ＭＩＲＡＲＴＨホールディングス,不動産業
8904.T,ＡＶＡＮＴＩＡ,不動産業
8905.T,イオンモール,不動産業
8908.T,毎日コムネット,不動産業
8917.T,ファースト住建,不動産業
8918.T,ランド,不動産業
8919.T,カチタス,不動産業
8920.T,東祥,サービス業
8923.T,トーセイ,不動産業
8928.T,穴吹興産,不動産業
8934.T,サンフロンティア不動産,不動産業
8935.T,ＦＪネクストホールディングス,不動産業
8940.T,インテリックス,不動産業
8944.T,ランドビジネス,不動産業
8945.T,サンネクスタグループ,不動産業
8999.T,グランディハウス,不動産業
9001.T,東武鉄道,陸運業
9003.T,相鉄ホールディングス,陸運業
9005.T,東急,陸運業
9006.T,京浜急行電鉄,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9010.T,富士急行,陸運業
9020.T,東日本旅客鉄道,陸運業
9021.T,西日本旅客鉄道,陸運業
9022.T,東海旅客鉄道,陸運業
9024.T,西武ホールディングス,陸運業
9025.T,鴻池運輸,陸運業
9031.T,西日本鉄道,陸運業
9037.T,ハマキョウレックス,陸運業
9039.T,サカイ引越センター,陸運業
9041.T,近鉄グループホールディングス,陸運業
9042.T,阪急阪神ホールディングス,陸運業
9044.T,南海電気鉄道,陸運業
9045.T,京阪ホールディングス,陸運業
9046.T,神戸電鉄,陸運業
9048.T,名古屋鉄道,陸運業
9052.T,山陽電気鉄道,陸運業
9055.T,アルプス物流,陸運業
9058.T,トランコム,倉庫・運輸関連業
9064.T,ヤマトホールディングス,陸運業
9065.T,山九,陸運業
9066.T,日新,倉庫・運輸関連業
9067.T,丸運,陸運業
9068.T,丸全昭和運輸,陸運業
9069.T,センコーグループホールディングス,陸運業
9070.T,トナミホールディングス,陸運業
9072.T,ニッコンホールディングス,陸運業
9074.T,日本石油輸送,陸運業
9075.T,福山通運,陸運業
9076.T,セイノーホールディングス,陸運業
9081.T,神奈川中央交通,陸運業
9090.T,ＡＺ－ＣＯＭ丸和ホールディングス,陸運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9110.T,ＮＳユナイテッド海運,海運業
9115.T,明海グループ,海運業
9119.T,飯野海運,海運業
9130.T,共栄タンカー,海運業
9142.T,九州旅客鉄道,陸運業
9143.T,ＳＧホールディングス,陸運業
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業
9161.T,ＩＤ＆Ｅホールディングス,サービス業
9201.T,日本航空,空運業
9202.T,ＡＮＡホールディングス,空運業
9216.T,ビーウィズ,サービス業
9229.T,サンウェルズ,サービス業
9232.T,パスコ,空運業
9247.T,ＴＲＥホールディングス,サービス業
9248.T,人・夢・技術グループ,サービス業
9260.T,西本Ｗｉｓｍｅｔｔａｃホールディングス,卸売業
9262.T,シルバーライフ,小売業
9265.T,ヤマシタヘルスケアホールディングス,卸売業
9267.T,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,小売業
9273.T,コーア商事ホールディングス,卸売業
9274.T,ＫＰＰグループホールディングス,卸売業
9275.T,ナルミヤ・インターナショナル,小売業
9278.T,ブックオフグループホールディングス,小売業
9279.T,ギフトホールディングス,小売業
9301.T,三菱倉庫,倉庫・運輸関連業
9302.T,三井倉庫ホールディングス,倉庫・運輸関連業
9303.T,住友倉庫,倉庫・運輸関連業
9304.T,澁澤倉庫,倉庫・運輸関連業
9305.T,ヤマタネ,卸売業
9306.T,東陽倉庫,倉庫・運輸関連業
9308.T,乾汽船,海運業
9310.T,日本トランスシティ,倉庫・運輸関連業
9312.T,ケイヒン,倉庫・運輸関連業
9319.T,中央倉庫,倉庫・運輸関連業
9322.T,川西倉庫,倉庫・運輸関連業
9324.T,安田倉庫,倉庫・運輸関連業
9325.T,ファイズホールディングス,倉庫・運輸関連業
9332.T,ＮＩＳＳＯホールディングス,サービス業
9336.T,大栄環境,サービス業
9341.T,ＧＥＮＯＶＡ,サービス業
9347.T,日本管財ホールディングス,サービス業
9351.T,東洋埠頭,倉庫・運輸関連業
9364.T,上組,倉庫・運輸関連業
9366.T,サンリツ,倉庫・運輸関連業
9368.T,キムラユニティー,倉庫・運輸関連業
9369.T,キユーソー流通システム,倉庫・運輸関連業
9380.T,東海運,倉庫・運輸関連業
9381.T,エーアイテイー,倉庫・運輸関連業
9384.T,内外トランスライン,倉庫・運輸関連業
9385.T,ショーエイコーポレーション,化学
9386.T,日本コンセプト,倉庫・運輸関連業
9401.T,ＴＢＳホールディングス,情報・通信業
9404.T,日本テレビホールディングス,情報・通信業
9405.T,朝日放送グループホールディングス,情報・通信業
9409.T,テレビ朝日ホールディングス,情報・通信業
9412.T,スカパーＪＳＡＴホールディングス,情報・通信業
9413.T,テレビ東京ホールディングス,情報・通信業
9414.T,日本ＢＳ放送,情報・通信業
9416.T,ビジョン,情報・通信業
9417.T,スマートバリュー,情報・通信業
9418.T,Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,情報・通信業
9419.T,ワイヤレスゲート,情報・通信業
9424.T,日本通信,情報・通信業
9428.T,クロップス,情報・通信業
9432.T,日本電信電話,情報・通信業
9433.T,ＫＤＤＩ,情報・通信業
9434.T,ソフトバンク,情報・通信業
9435.T,光通信,情報・通信業
9438.T,エムティーアイ,情報・通信業
9449.T,ＧＭＯインターネットグループ,情報・通信業
9450.T,ファイバーゲート,情報・通信業
9466.T,アイドママーケティングコミュニケーション,情報・通信業
9468.T,ＫＡＤＯＫＡＷＡ,情報・通信業
9470.T,学研ホールディングス,情報・通信業
9474.T,ゼンリン,情報・通信業
9475.T,昭文社ホールディングス,情報・通信業
9479.T,インプレスホールディングス,情報・通信業
9501.T,東京電力ホールディングス,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9504.T,中国電力,電気・ガス業
9505.T,北陸電力,電気・ガス業
9506.T,東北電力,電気・ガス業
9507.T,四国電力,電気・ガス業
9508.T,九州電力,電気・ガス業
9509.T,北海道電力,電気・ガス業
9511.T,沖縄電力,電気・ガス業
9513.T,電源開発,電気・ガス業
9514.T,エフオン,電気・ガス業
9517.T,イーレックス,電気・ガス業
9519.T,レノバ,電気・ガス業
9531.T,東京瓦斯,電気・ガス業
9532.T,大阪瓦斯,電気・ガス業
9533.T,東邦瓦斯,電気・ガス業
9534.T,北海道瓦斯,電気・ガス業
9535.T,広島ガス,電気・ガス業
9536.T,西部ガスホールディングス,電気・ガス業
9543.T,静岡ガス,電気・ガス業
9551.T,メタウォーター,電気・ガス業
9552.T,Ｍ＆Ａ総研ホールディングス,サービス業
9600.T,アイネット,情報・通信業
9601.T,松竹,情報・通信業
9602.T,東宝,情報・通信業
9603.T,エイチ・アイ・エス,サービス業
9605.T,東映,情報・通信業
9612.T,ラックランド,サービス業
9613.T,ＮＴＴデータグループ,情報・通信業
9616.T,共立メンテナンス,サービス業
9619.T,イチネンホールディングス,サービス業
9621.T,建設技術研究所,サービス業
9622.T,スペース,サービス業
9627.T,アインホールディングス,小売業
9628.T,燦ホールディングス,サービス業
9629.T,ピー・シー・エー,情報・通信業
9632.T,スバル興業,サービス業
9633.T,東京テアトル,サービス業
9644.T,タナベコンサルティンググループ,サービス業
9658.T,ビジネスブレイン太田昭和,情報・通信業
9663.T,ナガワ,サービス業
9672.T,東京都競馬,サービス業
9675.T,常磐興産,サービス業
9678.T,カナモト,サービス業
9682.T,ＤＴＳ,情報・通信業
9684.T,スクウェア・エニックス・ホールディングス,情報・通信業
9692.T,シーイーシー,情報・通信業
9697.T,カプコン,情報・通信業
9699.T,ニシオホールディングス,サービス業
9702.T,アイ・エス・ビー,情報・通信業
9704.T,アゴーラ　ホスピタリティー　グループ,サービス業
9706.T,日本空港ビルデング,不動産業
9715.T,トランス・コスモス,サービス業
9716.T,乃村工藝社,サービス業
9719.T,ＳＣＳＫ,情報・通信業
9722.T,藤田観光,サービス業
9726.T,ＫＮＴ－ＣＴホールディングス,サービス業
9729.T,トーカイ,サービス業
9731.T,白洋舎,サービス業
9735.T,セコム,サービス業
9739.T,ＮＳＷ,情報・通信業
9740.T,セントラル警備保障,サービス業
9742.T,アイネス,情報・通信業
9743.T,丹青社,サービス業
9744.T,メイテックグループホールディングス,サービス業
9746.T,ＴＫＣ,情報・通信業
9749.T,富士ソフト,情報・通信業
9755.T,応用地質,サービス業
9757.T,船井総研ホールディングス,サービス業
9759.T,ＮＳＤ,情報・通信業
9760.T,進学会ホールディングス,サービス業
9763.T,丸紅建材リース,卸売業
9765.T,オオバ,サービス業
9766.T,コナミグループ,情報・通信業
9768.T,いであ,サービス業
9769.T,学究社,サービス業
9787.T,イオンディライト,サービス業
9788.T,ナック,サービス業
9790.T,福井コンピュータホールディングス,情報・通信業
9793.T,ダイセキ,サービス業
9795.T,ステップ,サービス業
9824.T,泉州電業,卸売業
9828.T,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,小売業
9830.T,トラスコ中山,卸売業
9831.T,ヤマダホールディングス,小売業
9832.T,オートバックスセブン,卸売業
9837.T,モリト,卸売業
9842.T,アークランズ,小売業
9843.T,ニトリホールディングス,小売業
9850.T,グルメ杵屋,小売業
9854.T,愛眼,小売業
9856.T,ケーユーホールディングス,小売業
9861.T,吉野家ホールディングス,小売業
9869.T,加藤産業,卸売業
9872.T,北恵,卸売業
9880.T,イノテック,電気機器
9882.T,イエローハット,卸売業
9887.T,松屋フーズホールディングス,小売業
9889.T,ＪＢＣＣホールディングス,情報・通信業
9896.T,ＪＫホールディングス,卸売業
9900.T,サガミホールディングス,小売業
9902.T,日伝,卸売業
9928.T,ミロク情報サービス,情報・通信業
9930.T,北沢産業,卸売業
9932.T,杉本商事,卸売業
9934.T,因幡電機産業,卸売業
9936.T,王将フードサービス,小売業
9946.T,ミニストップ,小売業
9948.T,アークス,小売業
9956.T,バローホールディングス,小売業
9960.T,東テク,卸売業
9962.T,ミスミグループ本社,卸売業
9972.T,アルテック,卸売業
9974.T,ベルク,小売業
9979.T,大庄,小売業
9982.T,タキヒヨー,卸売業
9983.T,ファーストリテイリング,小売業
9984.T,ソフトバンクグループ,情報・通信業
9986.T,蔵王産業,卸売業
9987.T,スズケン,卸売業
9989.T,サンドラッグ,小売業
9990.T,サックスバー　ホールディングス,小売業
9991.T,ジェコス,卸売業
9993.T,ヤマザワ,小売業
9994.T,やまや,小売業
9997.T,ベルーナ,小売業
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
nan.T,,
